LOG1;TIPO_ACID;DATA_HORA;DIA_SEM;FERIDOS;MORTES;MORTE_POST;FATAIS;AUTO;TAXI;LOTACAO;ONIBUS_URB;ONIBUS_INT;CAMINHAO;MOTO;CARROCA;BICICLETA;TEMPO;NOITE_DIA;REGIAO
AV ASSIS BRASIL;ABALROAMENTO;20090101 04:00;QUINTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;NOITE;NORTE
R JOSE DE ALENCAR;ABALROAMENTO;20090101 04:40;QUINTA-FEIRA;0;0;0;0;1;1;0;0;0;0;0;0;0;BOM;NOITE;SUL
R EUSTAQUIO INACIO DA SILVEIRA;ABALROAMENTO;20090101 07:00;QUINTA-FEIRA;1;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;SUL
AV FARRAPOS;CHOQUE;20090101 15:15;QUINTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;DIA;NORTE
AV PROTASIO ALVES;ABALROAMENTO;20090101 17:00;QUINTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;NUBLADO;DIA;LESTE
AV JOAO PESSOA;ATROPELAMENTO;20090101 19:00;QUINTA-FEIRA;1;0;0;0;1;0;0;0;0;0;0;0;0;BOM;NOITE;CENTRO
AV PROF OSCAR PEREIRA;ABALROAMENTO;20090101 21:40;QUINTA-FEIRA;1;0;0;0;2;0;0;0;0;0;0;0;0;BOM;NOITE;SUL
AV VENANCIO AIRES;ABALROAMENTO;20090101 23:07;QUINTA-FEIRA;0;0;0;0;1;1;0;0;0;0;0;0;0;NUBLADO;NOITE;CENTRO
R GEN COUTO DE MAGALHAES;ABALROAMENTO;20090102 08:00;SEXTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;NUBLADO;DIA;NORTE
R JOSE FERREIRA JARDIM;COLISAO;20090102 10:10;SEXTA-FEIRA;0;0;0;0;1;0;0;0;0;1;0;0;0;NUBLADO;DIA;NORTE
AV SEVERO DULLIUS;COLISAO;20090102 12:00;SEXTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;NUBLADO;DIA;NORTE
AV PLINIO BRASIL MILANO;ABALROAMENTO;20090102 12:30;SEXTA-FEIRA;0;0;0;0;1;1;0;0;0;0;0;0;0;BOM;DIA;NORTE
R DOS ANDRADAS;CHOQUE;20090102 13:00;SEXTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;NUBLADO;DIA;CENTRO
AV CRISTOVAO COLOMBO;CHOQUE;20090102 15:15;SEXTA-FEIRA;9;0;0;0;0;0;0;1;0;0;0;0;0;CHUVOSO;DIA;NORTE
R DR PEREIRA NETO;QUEDA;20090102 17:20;SEXTA-FEIRA;1;0;0;0;0;0;0;1;0;0;0;0;0;BOM;DIA;SUL
R ACORES;ABALROAMENTO;20090102 18:20;SEXTA-FEIRA;0;0;0;0;2;0;0;0;0;0;0;0;0;BOM;NOITE;NORTE
AV OSVALDO ARANHA;ABALROAMENTO;20090102 19:27;SEXTA-FEIRA;1;0;0;0;2;0;0;0;1;0;0;0;0;BOM;NOITE;CENTRO
AV IPIRANGA;CAPOTAGEM;20090102 21:20;SEXTA-FEIRA;1;0;0;0;1;0;0;0;0;0;0;0;0;CHUVOSO;NOITE;CENTRO
AV PROF OSCAR PEREIRA;ABALROAMENTO;20090102 21:45;SEXTA-FEIRA;1;0;0;0;1;0;0;0;0;0;1;0;0;CHUVOSO;NOITE;SUL
AV BALTAZAR DE OLIVEIRA GARCIA;CHOQUE;20090102 21:45;SEXTA-FEIRA;0;0;0;0;0;0;0;0;1;0;0;0;0;CHUVOSO;NOITE;NORTE
